Country,variable_name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Japan,health_expend,535,604,664.8,714.9,746,818.4,859.9,916.7,969.3,1021.2,1089,1166.4,1253.4,1332.2,1420.3,1413.4,1436.4,1529.6,1571.1,1667.9,1847.8,1945.6,2065.1,2194.4,2303.7,2471.2,2561.2,2689.9,2799.2,2971.4,3169.2,3740.8,3970.8,4308.3,4328.4,4515.6,4295.9
Korea,health_expend,91.6,107.6,120.4,136.9,148.5,165.5,183.5,206.8,250.3,316.1,355.8,378,418.8,442.2,465,515.8,575.7,599.7,581,662.5,725.1,861.3,886.3,973.2,1033.4,1134.3,1276.7,1435.2,1556.2,1684.3,1878.1,1966.7,2071.5,2129.2,2233.2,2491.7,2664.7
Latvia,health_expend,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,464.1,552.5,630.8,637.6,796.4,839.7,938.8,1084.8,1118.3,1006.8,1076.2,1077.6,1156.2,1229.7,1286.5,1404.7,1613.8
Lithuania,health_expend,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,574.2,606.2,711.9,816.5,789.4,885.7,1011,1159.1,1347.2,1323.2,1371.7,1484.7,1568.0,1662.6,1781.7,1917.1,2097.8
Luxembourg,health_expend,597.9,654.6,682.4,709.5,752,798.9,883.7,1017.7,1184.1,1321.8,1475.7,1550,1664.8,1812.7,1857.6,2097.7,2217.6,2270.3,2428.2,2827.7,3411.4,3714.4,4248.8,4411.6,4776,4881.4,5154.1,5086.5,5431.1,5710.1,5625.1,4830.5,4424.5,4636.7,4707.0,4692.3,4864.3
Mexico,health_expend,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,476.4,517.2,567.8,600.5,688.9,768,771.6,822.1,870.6,899.9,912,893.8,912.0,973.5,1002.6,989.6,1062.6,1102.8
Netherlands,health_expend,750.6,808.2,865.9,907,941.2,977.4,1035.5,1087.2,1146.4,1269.5,1400,1500.8,1588,1649.4,1690,1748.7,1822.1,1883.4,2216.6,2372,2647.5,2883.1,3297,3308.9,3494.8,3583.4,3829.8,4076.9,4378.4,4433.6,4474.5,4567.4,4782.3,4923.9,4934.6,4927.1,5095.8
New Zealand,health_expend,500.3,563.1,595.6,634.1,644.2,605.9,666.4,767.6,884.7,951.4,1022.8,1069,1121.8,1171.9,1246.9,1306.4,1341.5,1419.4,1499.2,1565.4,1659.5,1799.5,1921,1917.1,2077.8,2194.4,2439.1,2540.6,2829.8,2947.6,3042.7,3132.3,3240.0,3388.2,3490.8,3500.7,3732.6
Norway,health_expend,608.2,677.4,736.7,811.4,839.5,908.5,966.1,1037.6,1082.6,1114.7,1361.1,1481.4,1556.7,1605.4,1670.1,1769.7,1929,2198.6,2367.5,2518.9,2793.8,2938.4,3389.2,3447.9,3655.6,3740.9,3966.4,4311.8,4604.5,4675.7,4777.1,4965.2,5209.6,5485.9,5707.4,5726.9,5904.2
Poland,health_expend,..,..,..,..,..,..,..,..,..,..,302.6,302.4,324.8,349.4,370.2,397.7,454.7,476.5,497.3,572.5,604.1,668.4,774.1,781.6,837.5,834.6,903.4,1050.9,1222.7,1312.4,1423.4,1496.6,1578.6,1670.8,1687.1,1818.9,1959.1
Portugal,health_expend,255.5,289.2,315.5,309.2,314.3,371.7,463.5,495,575.5,578.4,630.4,734.2,790.8,824,862.7,1009.7,1085.9,1144.4,1194.2,1319.8,1642.9,1709.8,1839.1,1922,2085.3,2183.7,2240.8,2300.5,2448,2513.4,2580.2,2457.5,2420.9,2504.2,2537.6,2635.6,2815.2
Slovak Republic,health_expend,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,648.8,663.1,658.1,690.5,758.9,868.6,876.6,1100.6,1191.4,1342.7,1584.4,1687.1,1809.1,2011.3,1974.8,2097.4,2153.7,2010.1,2059.1,2039.6
Slovenia,health_expend,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1464.1,1554,1736.6,1786.4,1857.8,1900,1986.6,2066,2297.5,2265.7,2319.5,2376.6,2431.0,2495.3,2499.1,2579.3,2738.2
Spain,health_expend,330.3,360.8,389,420.6,429.4,444.9,471.9,521.9,637.6,713.2,821.7,898.7,980.4,1028.9,1052.9,1126.5,1179.8,1231.8,1302.1,1370.2,1524.1,1635.6,1803.5,2015,2123.1,2212.5,2394.2,2484.7,2671.9,2743.5,2737.5,2733.9,2728.1,2764.1,2857.7,3019.6,3148.7
Sweden,health_expend,898.3,965.9,1023.7,1062.6,1122.7,1120.8,1155.2,1236,1303,1413.2,1489.8,1480.5,1537.3,1522.5,1519.1,1594.7,1691.1,1709.9,1808.6,1959.4,2196.1,2399.5,2637.4,2675.9,2773,2810.7,3010.1,3225.8,3415,3451.1,3431.2,4459.5,4679.7,4732.0,4865.5,5004.1,5127.6
Switzerland,health_expend,960.6,1068.3,1146.7,1252.1,1300.9,1487.1,1601.2,1720.5,1856.8,2018.3,2136,2334.5,2434.1,2492.2,2626.4,2611.1,2766.5,2873.7,2989.5,3103.7,3326.3,3554.3,3887.1,3915.2,4108,4106.1,4234.5,4597.3,4905.1,5059.2,5089.2,5259.6,5565.3,5923.9,6158.7,6465.9,6808.0
Turkey,health_expend,73.4,90.4,80.1,88.7,91.9,69.7,96.1,99.3,119.8,128.5,152.5,175.4,182.7,197,179.6,175.5,231.1,266.5,299.8,369.1,432,472.8,520,509.7,558.6,588.1,678.2,733.4,807.1,815.1,843.6,888.3,894.7,947.7,1006.8,1040.1,1128.8
United Kingdom,health_expend,385.1,434,448.5,501.9,521.5,549.6,578.6,635,688,739.7,782.6,842.8,930.7,995.7,1058.7,1094,1171.6,1507.4,1572.1,1683.9,1897.2,2067.2,2287.5,2469.2,2724.9,2731.4,2952.3,3021.7,3207.9,3334.5,3441.7,3495.7,3614.1,3667.6,3758.9,3805.8,3960.1
United States,health_expend,1036.3,1191.5,1329.7,1451.9,1590.7,1735.2,1847.8,1976.2,2195.4,2424.7,2685,2901.6,3100.3,3286.6,3432.1,3586.7,4158.9,3894.3,4061.5,4262,4536.6,4888.5,5316.5,5726.5,6069.5,6430.8,6808.1,7166.5,7385,7645,7879.3,8079.5,8346.1,8519.6,8925.9,9355.1,9717.6
